id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;defeitos_manhã;defeitos_tarde;defeitos_noite;defeitos_madrugada;defeitos_bess_carga;defeitos_bess_pós_carga_pré_descarga;defeitos_bess_descarga;defeitos_bess_fora_de_operacao;horas_com_erro_max_control;pen_pct
122;nublado;2;176,9;2;291,55;1;1;1;1;1;1;1;1;0;10
123;parcialmente_nublado;2;176,9;2;240,75;1;1;1;1;1;1;1;1;0;10
124;parcialmente_nublado;2;176,9;2;389,57000000000005;1;1;1;1;1;1;1;1;0;10
125;nublado;1;176,9;2;266,78;1;1;1;1;1;1;1;1;0;10
126;ceu_aberto;1;176,9;2;363,56;1;1;1;1;1;1;1;1;0;10
127;nublado;1;176,9;2;231,89;1;1;1;1;1;1;1;1;0;10
128;ceu_aberto;1;176,9;2;210,73;1;1;1;1;1;1;1;1;0;10
129;parcialmente_nublado;1;176,9;2;244,28;1;1;1;1;1;1;1;1;0;10
130;parcialmente_nublado;1;176,9;2;244,31;1;1;1;1;1;1;1;1;0;10
131;parcialmente_nublado;2;176,9;2;124,50999999999999;1;1;1;1;1;1;1;1;0;10
132;ceu_aberto;1;176,9;2;291,04999999999995;1;1;1;1;1;1;1;1;0;10
133;nublado;2;176,9;2;318,03;1;1;1;1;1;1;1;1;0;10
134;parcialmente_nublado;1;176,9;2;327,31;1;1;1;1;1;1;1;1;0;10
135;parcialmente_nublado;1;176,9;2;292,73;1;1;1;1;1;1;1;1;0;10
136;ceu_aberto;2;176,9;2;277,89;1;1;1;1;1;1;1;1;0;10
137;parcialmente_nublado;1;176,9;2;370,0;1;1;1;1;1;1;1;1;0;10
138;parcialmente_nublado;1;176,9;2;349,6;1;1;1;1;1;1;1;1;0;10
139;ceu_aberto;1;176,9;2;325,96000000000004;1;1;1;1;1;1;1;1;0;10
140;parcialmente_nublado;1;176,9;2;373,12;1;1;1;1;1;1;1;1;0;10
141;nublado;1;176,9;2;221,43;1;1;1;1;1;1;1;1;0;10
142;parcialmente_nublado;1;176,9;2;342,0;1;1;1;1;1;1;1;1;0;10
143;parcialmente_nublado;1;176,9;2;273,59000000000003;1;1;1;1;1;1;1;1;0;10
144;ceu_aberto;2;176,9;2;349,64;1;1;1;1;1;1;1;1;0;10
145;nublado;1;176,9;2;235,85000000000002;1;1;1;1;1;1;1;1;0;10
146;parcialmente_nublado;1;176,9;2;239,72;1;1;1;1;1;1;1;1;0;10
147;ceu_aberto;1;176,9;2;289,26;1;1;1;1;1;1;1;1;0;10
148;ceu_aberto;1;176,9;2;371,01;1;1;1;1;1;1;1;1;0;10
149;parcialmente_nublado;1;176,9;2;316,65;1;1;1;1;1;1;1;1;0;10
150;nublado;2;176,9;2;441,03;1;1;1;1;2;1;2;1;0;10
