id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;subtensao_manhã;sobretensao_manhã;subtensao_tarde;sobretensao_tarde;subtensao_noite;sobretensao_noite;subtensao_madrugada;sobretensao_madrugada;subtensao_bess_carga;sobretensao_bess_carga;subtensao_bess_pós_carga_pré_descarga;sobretensao_bess_pós_carga_pré_descarga;subtensao_bess_descarga;sobretensao_bess_descarga;subtensao_bess_fora_de_operacao;sobretensao_bess_fora_de_operacao;horas_com_erro_max_control;pen_pct
123;ceu_aberto;5;1945,91;5;681,0600000000001;1;33;1;33;2;8;2;0;1;33;1;9;1;8;2;33;0;110
124;parcialmente_nublado;5;1945,89;5;681,0600000000001;1;21;1;32;2;8;2;0;1;32;1;9;1;8;2;21;0;110
125;parcialmente_nublado;5;1945,9;5;681,07;1;27;1;23;2;8;2;0;1;27;1;9;1;8;2;19;0;110
126;ceu_aberto;5;1945,91;5;681,07;1;33;1;27;2;8;2;0;1;33;1;10;1;8;2;24;0;110
127;parcialmente_nublado;5;1945,9;5;681,07;1;33;1;33;2;8;2;0;1;33;1;9;1;8;2;33;0;110
128;nublado;5;1945,89;5;681,07;1;18;1;9;2;8;2;0;1;17;1;9;1;8;2;17;0;110
129;parcialmente_nublado;5;1945,9;5;681,0600000000001;1;27;1;33;2;8;2;0;1;33;1;9;1;8;2;11;0;110
130;ceu_aberto;5;1945,9;5;681,0700000000002;1;28;1;33;2;8;2;0;1;33;1;11;1;8;2;27;0;110
131;ceu_aberto;5;1945,91;5;681,0600000000001;1;33;1;33;2;8;2;0;1;33;1;9;1;8;2;33;0;110
132;parcialmente_nublado;5;1945,9;5;681,0600000000001;1;27;1;33;2;8;2;0;1;33;1;9;1;8;2;24;0;110
133;ceu_aberto;5;1945,9;5;681,0699999999999;1;25;1;32;2;8;2;0;1;32;1;9;1;8;2;25;0;110
134;nublado;5;1945,9;5;681,06;1;24;1;13;2;9;2;0;1;24;1;11;1;9;2;11;0;110
135;parcialmente_nublado;5;1945,9;5;681,05;1;27;1;9;2;7;2;0;1;12;1;9;1;7;2;27;0;110
136;ceu_aberto;5;1945,9;5;681,06;1;33;1;33;2;8;2;0;1;33;1;13;1;8;2;33;0;110
137;parcialmente_nublado;5;1945,89;5;681,0699999999999;1;22;1;23;2;9;2;0;1;23;1;9;1;9;2;13;0;110
138;ceu_aberto;5;1945,91;5;681,0799999999999;1;33;1;33;2;8;2;0;1;33;1;11;1;8;2;33;0;110
139;parcialmente_nublado;5;1945,9;5;681,07;1;32;1;33;2;8;2;0;1;33;1;9;1;8;2;27;0;110
140;ceu_aberto;5;1945,9;5;681,0600000000001;1;33;1;33;2;8;2;0;1;33;1;11;1;8;2;33;0;110
141;parcialmente_nublado;5;1945,9;5;681,0699999999999;1;33;1;12;2;8;2;0;1;22;1;9;1;8;2;33;0;110
142;ceu_aberto;5;1945,91;5;681,0699999999999;1;33;1;12;2;8;2;0;1;33;1;9;1;8;2;23;0;110
143;ceu_aberto;5;1945,9;5;681,06;1;33;1;28;2;9;2;0;1;33;1;11;1;9;2;27;0;110
144;parcialmente_nublado;5;1945,9;5;681,06;1;33;1;23;2;9;2;0;1;33;1;9;1;9;2;27;0;110
145;parcialmente_nublado;5;1945,9;5;681,0799999999999;1;27;1;24;2;8;2;0;1;24;1;9;1;8;2;27;0;110
146;parcialmente_nublado;5;1945,9;5;681,08;1;27;1;11;2;8;2;0;1;27;1;9;1;8;2;24;0;110
147;ceu_aberto;5;1945,89;5;681,07;1;32;1;33;2;8;2;0;1;33;1;11;1;8;2;17;0;110
148;ceu_aberto;5;1945,9;5;681,0799999999999;1;33;1;33;2;8;2;0;1;33;1;9;1;8;2;33;0;110
149;parcialmente_nublado;5;1945,9;5;681,07;1;12;1;14;2;8;2;0;1;15;1;9;1;8;2;11;0;110
150;parcialmente_nublado;5;1945,9;5;681,06;1;24;1;11;2;8;2;0;1;24;1;9;1;8;2;9;0;110
151;ceu_aberto;5;1945,9;5;681,0600000000001;1;33;1;24;2;8;2;0;1;24;1;9;1;8;2;33;0;110
152;parcialmente_nublado;5;1945,9;5;681,06;1;33;1;27;2;8;2;0;1;27;1;9;1;8;2;33;0;110
153;parcialmente_nublado;5;1945,89;5;681,0500000000001;1;12;1;33;2;9;2;0;1;33;1;9;1;9;2;12;0;110
154;ceu_aberto;5;1945,89;5;681,06;1;27;1;27;2;8;2;0;1;27;1;9;1;8;2;27;0;110
155;parcialmente_nublado;5;1945,9;5;681,0500000000001;1;19;1;9;2;9;2;0;1;19;1;9;1;9;2;9;0;110
156;nublado;5;1945,9;5;681,06;1;9;1;9;2;8;2;0;1;9;1;8;1;8;2;9;0;110
157;ceu_aberto;5;1945,9;5;681,06;1;19;1;27;2;8;2;0;1;27;1;9;1;8;2;15;0;110
158;parcialmente_nublado;5;1945,88;5;681,0699999999999;1;32;1;9;2;8;2;0;1;11;1;9;1;8;2;32;0;110
159;nublado;5;1945,9;5;681,0699999999999;1;11;1;10;2;8;2;0;1;10;1;9;1;8;2;11;0;110
160;parcialmente_nublado;5;1945,9;5;681,07;1;27;1;27;2;8;2;0;1;27;1;9;1;8;2;11;0;110
161;ceu_aberto;5;1945,91;5;681,0500000000001;1;27;1;33;2;8;2;0;1;33;1;9;1;8;2;27;0;110
162;parcialmente_nublado;5;1945,9;5;681,06;1;24;1;27;2;8;2;0;1;27;1;11;1;8;2;24;0;110
163;parcialmente_nublado;5;1945,9;5;681,0600000000001;1;24;1;11;2;8;2;0;1;24;1;9;1;8;2;12;0;110
164;parcialmente_nublado;5;1945,91;5;681,0699999999999;1;23;1;33;2;9;2;0;1;33;1;9;1;9;2;23;0;110
165;ceu_aberto;5;1945,9;5;681,06;1;33;1;24;2;8;2;0;1;32;1;9;1;8;2;33;0;110
166;parcialmente_nublado;5;1945,9;5;681,06;1;24;1;11;2;8;2;0;1;24;1;11;1;8;2;24;0;110
167;ceu_aberto;5;1945,9;5;681,0699999999999;1;32;1;32;2;8;2;0;1;32;1;9;1;8;2;27;0;110
168;ceu_aberto;5;1945,9;5;681,0699999999999;1;33;1;33;2;8;2;0;1;33;1;11;1;8;2;33;0;110
169;ceu_aberto;5;1945,9;5;681,0699999999999;1;33;1;33;2;8;2;0;1;33;1;11;1;8;2;28;0;110
170;ceu_aberto;5;1945,89;5;681,0699999999999;1;33;1;29;2;8;2;0;1;33;1;11;1;8;2;23;0;110
171;parcialmente_nublado;5;1945,9;5;681,07;1;32;1;24;2;8;2;0;1;27;1;9;1;8;2;32;0;110
172;ceu_aberto;5;1945,9;5;681,0699999999999;1;32;1;29;2;8;2;0;1;32;1;9;1;8;2;32;0;110
173;ceu_aberto;5;1945,9;5;681,08;1;27;1;32;2;8;2;0;1;32;1;18;1;8;2;27;0;110
174;ceu_aberto;5;1945,9;5;681,06;1;33;1;29;2;8;2;0;1;29;1;11;1;8;2;33;0;110
175;parcialmente_nublado;5;1945,91;5;681,06;1;24;1;14;2;8;2;0;1;16;1;9;1;8;2;24;0;110
176;ceu_aberto;5;1945,91;5;681,0699999999999;1;28;1;33;2;8;2;0;1;33;1;11;1;8;2;27;0;110
177;ceu_aberto;5;1945,9;5;681,07;1;33;1;24;2;8;2;0;1;33;1;9;1;8;2;32;0;110
178;ceu_aberto;5;1945,9;5;681,06;1;33;1;33;2;8;2;0;1;33;1;16;1;8;2;27;0;110
179;parcialmente_nublado;5;1945,9;5;681,0699999999999;1;27;1;32;2;8;2;0;1;32;1;9;1;8;2;27;0;110
180;parcialmente_nublado;5;1945,9;5;681,0699999999999;1;24;1;16;2;8;2;0;1;24;1;9;1;8;2;12;0;110
181;ceu_aberto;5;1945,9;5;681,07;1;33;1;24;2;8;2;0;1;27;1;11;1;8;2;33;0;110
182;ceu_aberto;5;1945,9;5;681,07;1;32;1;33;2;8;2;0;1;33;1;9;1;8;2;28;0;110
183;parcialmente_nublado;5;1945,9;5;681,0699999999999;1;27;1;32;2;8;2;0;1;32;1;9;1;8;2;27;0;110
184;ceu_aberto;5;1945,89;5;681,06;1;33;1;33;2;8;2;0;1;33;1;11;1;8;2;33;0;110
185;ceu_aberto;5;1945,89;5;681,0600000000001;1;32;1;33;2;8;2;0;1;33;1;11;1;8;2;24;0;110
186;parcialmente_nublado;5;1945,9;5;681,0599999999998;1;24;1;33;2;7;2;0;1;33;1;9;1;7;2;23;0;110
187;ceu_aberto;5;1945,89;5;681,06;1;32;1;24;2;8;2;0;1;32;1;11;1;8;2;32;0;110
188;parcialmente_nublado;5;1945,9;5;681,07;1;33;1;24;2;8;2;0;1;24;1;9;1;8;2;33;0;110
189;ceu_aberto;5;1945,9;5;681,07;1;32;1;32;2;8;2;0;1;32;1;9;1;8;2;24;0;110
190;parcialmente_nublado;5;1945,9;5;681,08;1;27;1;24;2;8;2;0;1;27;1;9;1;8;2;11;0;110
191;ceu_aberto;5;1945,9;5;681,07;1;33;1;28;2;8;2;0;1;28;1;11;1;8;2;33;0;110
192;parcialmente_nublado;5;1945,9;5;681,06;1;11;1;17;2;8;2;0;1;17;1;9;1;8;2;11;0;110
193;ceu_aberto;5;1945,9;5;681,06;1;33;1;33;2;8;2;0;1;33;1;9;1;8;2;33;0;110
194;nublado;5;1945,89;5;681,06;1;24;1;16;2;8;2;0;1;16;1;9;1;8;2;24;0;110
195;parcialmente_nublado;5;1945,9;5;681,06;1;18;1;24;2;8;2;0;1;24;1;11;1;8;2;18;0;110
196;ceu_aberto;5;1945,9;5;681,0600000000001;1;32;1;33;2;8;2;0;1;33;1;11;1;8;2;32;0;110
197;ceu_aberto;5;1945,9;5;681,0699999999999;1;32;1;33;2;8;2;0;1;33;1;9;1;8;2;13;0;110
198;ceu_aberto;5;1945,89;5;681,0600000000001;1;33;1;33;2;9;2;0;1;33;1;11;1;9;2;32;0;110
199;ceu_aberto;5;1945,89;5;681,07;1;29;1;32;2;8;2;0;1;32;1;9;1;8;2;29;0;110
200;parcialmente_nublado;5;1945,91;5;681,0799999999999;1;27;1;11;2;8;2;0;1;24;1;9;1;8;2;27;0;110
