id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;defeitos_dia;defeitos_tarde;defeitos_noite;pen_pct
1;parcialmente_nublado;6;1100,0;10;1532,1699999999998;1;12;1;50
2;nublado;4;1100,0;10;1507,1899999999998;1;9;1;50
3;nublado;3;1100,0;10;1399,55;6;9;1;50
4;parcialmente_nublado;3;1100,0;10;1354,33;1;9;1;50
5;ceu_aberto;2;1100,0;10;1623,17;5;18;1;50
6;parcialmente_nublado;3;1100,0;10;1393,48;1;9;1;50
7;parcialmente_nublado;2;1100,0;10;1622,8899999999999;2;20;1;50
8;parcialmente_nublado;2;1100,0;10;1433,61;7;13;1;50
9;nublado;2;1100,0;10;1309,6000000000001;7;9;1;50
10;parcialmente_nublado;4;1100,0;10;1646,5;7;13;1;50
11;parcialmente_nublado;3;1100,0;10;1224,5;7;9;1;50
12;nublado;2;1100,0;10;1054,7;1;9;1;50
13;nublado;2;1100,0;10;1606,8999999999999;1;11;1;50
14;nublado;4;1100,0;10;1483,51;1;13;1;50
15;nublado;4;1100,0;10;1177,35;1;9;1;50
16;ceu_aberto;4;1100,0;10;1412,86;9;9;1;50
17;nublado;4;1100,0;10;1502,36;2;9;1;50
18;nublado;3;1100,0;10;1562,3;7;9;1;50
19;nublado;3;1100,0;10;1482,65;1;9;1;50
20;nublado;3;1100,0;10;1208,1499999999999;1;10;1;50
21;nublado;3;1100,0;10;1512,6299999999999;1;11;1;50
22;parcialmente_nublado;3;1100,0;10;1694,0799999999997;2;13;1;50
23;ceu_aberto;3;1100,0;10;1413,5400000000002;17;16;1;50
24;ceu_aberto;8;1100,0;10;1453,07;9;9;1;50
25;ceu_aberto;2;1100,0;10;1681,1599999999999;9;22;1;50
26;ceu_aberto;4;1100,0;10;1477,1399999999999;9;10;1;50
27;nublado;6;1100,0;10;1578,1399999999999;1;10;1;50
28;nublado;5;1100,0;10;1513,92;1;10;1;50
29;nublado;3;1100,0;10;1492,02;1;16;1;50
30;parcialmente_nublado;4;1100,0;10;1406,58;8;9;1;50
31;ceu_aberto;5;1100,0;10;1305,3099999999997;9;9;1;50
32;ceu_aberto;4;1100,0;10;1521,8499999999997;10;10;1;50
33;parcialmente_nublado;4;1100,0;10;1715,18;8;11;1;50
34;nublado;4;1100,0;10;1559,8200000000002;1;9;1;50
35;ceu_aberto;3;1100,0;10;1441,05;9;13;1;50
36;ceu_aberto;3;1100,0;10;1404,84;9;9;1;50
37;ceu_aberto;5;1100,0;10;1596,3699999999997;9;11;1;50
38;nublado;2;1100,0;10;1315,12;1;9;1;50
39;ceu_aberto;4;1100,0;10;1500,93;11;10;1;50
40;ceu_aberto;4;1100,0;10;1256,4199999999998;9;9;1;50
41;parcialmente_nublado;3;1100,0;10;1500,6499999999999;2;10;1;50
42;nublado;5;1100,0;10;1488,04;1;9;1;50
43;ceu_aberto;2;1100,0;10;1567,48;10;22;1;50
44;nublado;2;1100,0;10;1177,2;1;10;1;50
45;nublado;5;1100,0;10;1646,39;1;13;1;50
46;nublado;5;1100,0;10;1376,4900000000002;1;9;1;50
47;nublado;2;1100,0;10;1391,69;1;16;1;50
