id_realizacao;tipo_dia;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;subtensao_manhã;sobretensao_manhã;subtensao_tarde;sobretensao_tarde;subtensao_noite;sobretensao_noite;subtensao_madrugada;sobretensao_madrugada;subtensao_bess_carga;sobretensao_bess_carga;subtensao_bess_pós_carga_pré_descarga;sobretensao_bess_pós_carga_pré_descarga;subtensao_bess_descarga;sobretensao_bess_descarga;subtensao_bess_fora_de_operacao;sobretensao_bess_fora_de_operacao;horas_com_erro_max_control;horas_com_voltvar_ativo;pen_pct
451;ceu_aberto;5;1768,99;5;619,15;4;7;28;7;2;6;2;0;28;7;1;7;1;6;5;7;0;19;100
452;ceu_aberto;5;1768,99;5;619,1500000000001;29;7;24;7;2;6;2;0;29;7;1;7;1;6;11;7;0;19;100
453;ceu_aberto;5;1769,0;5;619,1500000000001;24;7;4;7;2;6;2;0;24;7;1;7;1;6;3;7;0;19;100
454;ceu_aberto;5;1769,01;5;619,15;29;7;29;7;2;6;2;0;29;7;1;7;1;6;5;7;0;19;100
455;parcialmente_nublado;5;1769,0;5;619,14;2;9;2;7;2;6;2;0;2;7;1;7;1;6;2;9;0;24;100
456;ceu_aberto;5;1769,0;5;619,15;22;7;24;7;2;6;2;0;24;7;1;7;1;6;9;7;0;19;100
457;parcialmente_nublado;5;1769,01;5;619,16;2;7;2;7;2;6;2;0;2;7;1;7;1;6;2;7;0;24;100
458;parcialmente_nublado;5;1769,0;5;619,16;24;7;2;7;2;6;2;0;4;7;1;6;1;6;25;7;0;24;100
459;nublado;5;1769,0;5;619,16;1;7;1;7;2;6;2;0;1;6;1;7;1;6;2;7;0;21;100
460;nublado;5;1768,99;5;619,15;1;7;1;6;2;6;2;0;1;6;1;6;1;6;2;7;0;21;100
461;parcialmente_nublado;5;1769,0;5;619,14;2;7;27;9;2;6;2;0;27;6;1;9;1;6;2;7;0;24;100
462;ceu_aberto;5;1769,0;5;619,15;26;7;26;7;2;6;2;0;26;7;1;7;1;6;15;7;0;19;100
463;parcialmente_nublado;5;1769,01;5;619,14;27;7;2;7;2;6;2;0;27;7;1;7;1;6;2;7;0;24;100
464;parcialmente_nublado;5;1769,0;5;619,14;24;7;2;7;2;6;2;0;24;7;1;6;1;6;2;7;0;24;100
465;ceu_aberto;5;1768,99;5;619,15;26;7;26;7;2;6;2;0;26;7;1;7;1;6;16;7;0;19;100
466;ceu_aberto;5;1768,99;5;619,1400000000001;29;7;2;7;2;6;2;0;29;7;1;7;1;6;23;7;0;19;100
467;nublado;5;1769,01;5;619,15;1;7;1;7;2;6;2;0;1;7;1;7;1;6;2;7;0;21;100
468;nublado;5;1769,0;5;619,15;2;7;1;6;2;6;2;0;2;7;1;6;1;6;2;7;0;21;100
469;ceu_aberto;5;1769,0;5;619,15;28;7;22;7;2;6;2;0;28;7;1;7;1;6;7;7;0;19;100
470;ceu_aberto;5;1769,0;5;619,1600000000001;22;7;29;7;2;6;2;0;29;7;1;7;1;6;23;7;0;19;100
471;parcialmente_nublado;5;1768,99;5;619,15;8;8;24;7;2;6;2;0;24;7;1;7;1;6;9;8;0;24;100
472;ceu_aberto;5;1769,01;5;619,15;8;7;29;7;2;6;2;0;29;7;1;7;1;6;9;7;0;19;100
473;parcialmente_nublado;5;1769,0;5;619,16;29;7;24;7;2;6;2;0;29;7;1;7;1;6;5;7;0;24;100
474;ceu_aberto;5;1769,0;5;619,14;24;7;29;7;2;6;2;0;29;7;1;7;1;6;25;7;0;19;100
475;ceu_aberto;5;1769,0;5;619,1500000000001;27;7;29;7;2;6;2;0;29;7;1;7;1;6;5;7;0;19;100
476;ceu_aberto;5;1769,0;5;619,14;26;7;29;7;2;6;2;0;29;7;1;7;1;6;7;7;0;19;100
477;nublado;5;1769,0;5;619,16;2;7;2;7;2;6;2;0;2;7;1;7;1;6;2;7;0;21;100
478;ceu_aberto;5;1769,01;5;619,1400000000001;24;7;2;8;2;6;2;0;24;7;1;8;1;6;7;7;0;19;100
479;ceu_aberto;5;1769,0;5;619,1400000000001;24;7;2;7;2;6;2;0;24;7;1;7;1;6;7;7;0;19;100
480;ceu_aberto;5;1769,0;5;619,15;26;8;29;7;2;6;2;0;29;7;1;7;1;6;3;8;0;19;100
481;parcialmente_nublado;5;1768,99;5;619,15;29;7;27;7;2;6;2;0;29;7;1;6;1;6;2;7;0;24;100
482;ceu_aberto;5;1768,99;5;619,15;27;9;4;7;2;6;2;0;27;7;1;7;1;6;2;9;0;19;100
483;parcialmente_nublado;5;1769,0;5;619,14;4;7;22;7;2;6;2;0;22;7;1;7;1;6;2;7;0;24;100
484;ceu_aberto;5;1769,0;5;619,1500000000001;27;7;27;7;2;6;2;0;27;7;1;7;1;6;9;7;0;19;100
485;parcialmente_nublado;5;1769,01;5;619,15;24;7;2;7;2;6;2;0;24;7;1;6;1;6;2;7;0;24;100
486;parcialmente_nublado;5;1768,99;5;619,1500000000001;4;7;27;7;2;6;2;0;27;7;1;7;1;6;2;7;0;24;100
487;parcialmente_nublado;5;1768,99;5;619,15;24;7;1;7;2;6;2;0;24;7;1;7;1;6;23;7;0;24;100
488;ceu_aberto;5;1769,0;5;619,15;29;7;2;7;2;6;2;0;29;7;1;7;1;6;9;7;0;19;100
489;parcialmente_nublado;5;1769,0;5;619,15;4;7;4;7;2;6;2;0;4;7;1;7;1;6;2;7;0;24;100
490;ceu_aberto;5;1769,0;5;619,1500000000001;29;7;29;9;2;6;2;0;29;7;1;9;1;6;20;7;0;19;100
491;ceu_aberto;5;1769,01;5;619,15;24;7;27;7;2;6;2;0;27;7;1;7;1;6;25;7;0;19;100
492;ceu_aberto;5;1769,0;5;619,16;22;7;29;7;2;6;2;0;29;6;1;7;1;6;3;7;0;19;100
493;ceu_aberto;5;1769,0;5;619,1600000000001;27;7;29;8;2;6;2;0;29;7;1;8;1;6;9;7;0;19;100
494;parcialmente_nublado;5;1769,0;5;619,1400000000001;3;7;4;7;2;6;2;0;4;7;1;6;1;6;2;7;0;24;100
495;ceu_aberto;5;1769,0;5;619,15;27;7;4;7;2;6;2;0;27;7;1;7;1;6;3;7;0;19;100
496;parcialmente_nublado;5;1769,01;5;619,1600000000001;3;7;2;7;2;6;2;0;3;7;1;7;1;6;3;7;0;24;100
497;nublado;5;1769,0;5;619,15;2;9;1;6;2;6;2;0;2;6;1;6;1;6;2;9;0;21;100
498;ceu_aberto;5;1769,0;5;619,1500000000001;27;7;24;7;2;6;2;0;27;7;1;7;1;6;5;7;0;19;100
499;ceu_aberto;5;1769,0;5;619,15;27;7;27;7;2;6;2;0;27;6;1;7;1;6;2;7;0;19;100
500;ceu_aberto;5;1769,0;5;619,1500000000001;29;7;22;7;2;6;2;0;29;7;1;7;1;6;5;7;0;19;100
