hour,der,der_type,bus,v_pu_preVoltVar,v_pu_posVoltVar,voltvar_active,iter_count,pnom_kw,q_voltvar_kvar,q/pn(%),soc_pct,bess_state
12,bess_barra840,BESS,840,1.008858,1.008859,True,3,63.29,0.0,0.0,31.26,Charging
12,bess_barra848,BESS,848,1.009191,1.009193,True,3,68.86,0.0,0.0,24.95,Charging
12,bess_barra890,BESS,890,0.819983,0.819984,True,3,209.34,91.2304,43.58,74.64,Charging
12,pv_barra860,PV,860,1.008853,1.008855,True,3,208.83,0.0,0.0,,N/A
12,pv_barra840,PV,840,1.008858,1.008859,True,3,216.87,0.0,0.0,,N/A
12,pv_barra844,PV,844,1.00858,1.008581,True,3,209.32,0.0,0.0,,N/A
12,pv_barra848,PV,848,1.009191,1.009193,True,3,227.33,0.0,0.0,,N/A
12,pv_barra890,PV,890,0.819983,0.819984,True,3,199.06,86.7503,43.58,,N/A
13,bess_barra860,BESS,860,1.035585,1.065603,True,3,78.1,-14.5805,-18.67,100.0,Idling
13,bess_barra844,BESS,844,1.035359,1.065373,True,3,215.8,-39.9876,-18.53,100.0,Idling
13,bess_barra840,BESS,840,1.035616,1.065467,True,3,63.29,-11.7553,-18.57,46.9,Charging
13,bess_barra848,BESS,848,1.036046,1.065863,True,3,68.86,-12.9592,-18.82,37.43,Charging
13,bess_barra890,BESS,890,0.87348,0.939856,True,3,209.34,55.0166,26.28,100.0,Idling
13,pv_barra860,PV,860,1.035585,1.065603,True,3,208.83,-38.9866,-18.67,,N/A
13,pv_barra840,PV,840,1.035616,1.065467,True,3,216.87,-40.2808,-18.57,,N/A
13,pv_barra844,PV,844,1.035359,1.065373,True,3,209.32,-38.7869,-18.53,,N/A
13,pv_barra848,PV,848,1.036046,1.065863,True,3,227.33,-42.7827,-18.82,,N/A
13,pv_barra890,PV,890,0.87348,0.939856,True,3,199.06,52.3149,26.28,,N/A
14,bess_barra860,BESS,860,1.031329,1.039088,True,1,78.1,-0.6464,-0.83,100.0,Idling
14,bess_barra844,BESS,844,1.031394,1.039146,True,1,215.8,-1.8724,-0.87,100.0,Idling
14,bess_barra840,BESS,840,1.031293,1.039091,True,1,63.29,-0.5094,-0.8,62.26,Charging
14,bess_barra848,BESS,848,1.031961,1.039766,True,1,68.86,-0.8409,-1.22,49.68,Charging
14,bess_barra890,BESS,890,0.954596,0.955022,True,1,209.34,20.0755,9.59,100.0,Idling
14,pv_barra860,PV,860,1.031329,1.039088,True,1,208.83,-1.7283,-0.83,,N/A
14,pv_barra840,PV,840,1.031293,1.039091,True,1,216.87,-1.7454,-0.8,,N/A
14,pv_barra844,PV,844,1.031394,1.039146,True,1,209.32,-1.8162,-0.87,,N/A
14,pv_barra848,PV,848,1.031961,1.039766,True,1,227.33,-2.776,-1.22,,N/A
14,pv_barra890,PV,890,0.954596,0.955022,True,1,199.06,19.0897,9.59,,N/A
15,bess_barra860,BESS,860,1.029773,1.030816,True,3,78.1,-0.2396,-0.31,100.0,Idling
15,bess_barra844,BESS,844,1.029746,1.030789,True,3,215.8,-0.6261,-0.29,100.0,Idling
15,bess_barra840,BESS,840,1.029652,1.030697,True,3,63.29,-0.1467,-0.23,77.9,Charging
15,bess_barra848,BESS,848,1.030208,1.031254,True,3,68.86,-0.3983,-0.58,62.16,Charging
15,bess_barra890,BESS,890,0.940283,0.94459,True,3,209.34,34.0431,16.26,100.0,Idling
15,pv_barra860,PV,860,1.029773,1.030816,True,3,208.83,-0.6408,-0.31,,N/A
15,pv_barra840,PV,840,1.029652,1.030697,True,3,216.87,-0.5027,-0.23,,N/A
15,pv_barra844,PV,844,1.029746,1.030789,True,3,209.32,-0.6073,-0.29,,N/A
15,pv_barra848,PV,848,1.030208,1.031254,True,3,227.33,-1.3148,-0.58,,N/A
15,pv_barra890,PV,890,0.940283,0.94459,True,3,199.06,32.3714,16.26,,N/A
16,bess_barra860,BESS,860,1.029807,1.028302,True,1,78.1,0.0,0.0,100.0,Idling
16,bess_barra844,BESS,844,1.029926,1.028421,True,1,215.8,0.0,0.0,100.0,Idling
16,bess_barra840,BESS,840,1.029824,1.02832,True,1,63.29,0.0,0.0,77.9,Idling
