id_realizacao;tipo_dia;penetracao_pct;pv_unidades;pv_potencia_total_kw;bess_unidades;bess_potencia_total_kw;razao_bess_pv
153;ceu_aberto;100,0;5;1769,0;5;619,16;0,35
154;ceu_aberto;100,0;5;1769,0;5;619,16;0,35
155;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
156;parcialmente_nublado;100,0;5;1769,0;5;619,16;0,35
157;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
158;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
159;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
160;parcialmente_nublado;100,0;5;1768,99;5;619,14;0,35
161;ceu_aberto;100,0;5;1769,0;5;619,16;0,35
162;parcialmente_nublado;100,0;5;1769,0;5;619,14;0,35
163;ceu_aberto;100,0;5;1768,99;5;619,15;0,35
164;parcialmente_nublado;100,0;5;1768,99;5;619,16;0,35
165;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
166;ceu_aberto;100,0;5;1769,01;5;619,14;0,35
167;ceu_aberto;100,0;5;1769,0;5;619,14;0,35
168;ceu_aberto;100,0;5;1769,01;5;619,15;0,35
169;parcialmente_nublado;100,0;5;1768,99;5;619,16;0,35
170;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
171;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
172;ceu_aberto;100,0;5;1768,99;5;619,16;0,35
173;ceu_aberto;100,0;5;1769,0;5;619,14;0,35
174;ceu_aberto;100,0;5;1768,99;5;619,16;0,35
175;ceu_aberto;100,0;5;1769,01;5;619,16;0,35
176;parcialmente_nublado;100,0;5;1769,0;5;619,14;0,35
177;ceu_aberto;100,0;5;1768,99;5;619,16;0,35
178;parcialmente_nublado;100,0;5;1769,0;5;619,14;0,35
179;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
180;ceu_aberto;100,0;5;1769,0;5;619,16;0,35
181;nublado;100,0;5;1769,01;5;619,15;0,35
182;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
183;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
184;parcialmente_nublado;100,0;5;1768,99;5;619,15;0,35
185;ceu_aberto;100,0;5;1769,0;5;619,14;0,35
186;parcialmente_nublado;100,0;5;1769,0;5;619,14;0,35
187;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
188;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
189;ceu_aberto;100,0;5;1768,99;5;619,14;0,35
190;parcialmente_nublado;100,0;5;1768,99;5;619,16;0,35
191;ceu_aberto;100,0;5;1769,0;5;619,16;0,35
192;ceu_aberto;100,0;5;1769,0;5;619,14;0,35
193;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
194;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
195;ceu_aberto;100,0;5;1769,0;5;619,15;0,35
196;parcialmente_nublado;100,0;5;1769,01;5;619,15;0,35
197;ceu_aberto;100,0;5;1769,0;5;619,14;0,35
198;parcialmente_nublado;100,0;5;1769,0;5;619,15;0,35
199;nublado;100,0;5;1769,0;5;619,15;0,35
200;ceu_aberto;100,0;5;1769,01;5;619,15;0,35
